date,entity_id,brand,product_name,category,event_type,event_title,event_description,impact_direction,linked_marker_date,linked_marker_type,signal_story,priority
2025-02-10,105,ZenAudio,ZenEar Flex,earbuds,product_upgrade,Product page or feature upgrade,ZenEar Flex received a listing or feature update that likely refreshed shopper interest and conversion.,positive,,,,high
2025-02-15,401,BoomAudio,BoomBox Mini,bluetooth_speakers,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for BoomBox Mini, creating a measurable ad point in the timeline.",positive,,,,medium
2025-02-15,602,BassAudio,BassKing Pro,headphones,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for BassKing Pro, creating a measurable ad point in the timeline.",positive,,,,medium
2025-02-15,701,TabTech,TabPro 10,tablets,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for TabPro 10, creating a measurable ad point in the timeline.",positive,,,,medium
2025-02-20,103,PureAudio,PureSound Elite,earbuds,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for PureSound Elite, creating a measurable ad point in the timeline.",positive,,,,medium
2025-02-20,201,NovaTech,NovaPhone S22,smartphones,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for NovaPhone S22, creating a measurable ad point in the timeline.",positive,,,,medium
2025-02-20,205,SwiftTech,SwiftPhone Z1,smartphones,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for SwiftPhone Z1, creating a measurable ad point in the timeline.",positive,,,,medium
2025-03-02,603,ComfortGear,ComfortWear X,headphones,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for ComfortWear X, creating a measurable ad point in the timeline.",positive,,,,medium
2025-03-14,205,SwiftTech,SwiftPhone Z1,smartphones,product_upgrade,Product page or feature upgrade,SwiftPhone Z1 received a listing or feature update that likely refreshed shopper interest and conversion.,positive,,,,high
2025-03-17,104,TechGear,TechBuds Pro,earbuds,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for TechBuds Pro, creating a measurable ad point in the timeline.",positive,,,,medium
2025-03-31,502,DealTech,DealBuds Go,earbuds,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for DealBuds Go.,positive,2025-04-01,top_peak,Positive deviation above current trend detected.,high
2025-03-31,601,SonicAudio,SonicPure X5,earbuds,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for SonicPure X5.,positive,2025-04-01,top_peak,Positive deviation above current trend detected.,high
2025-04-03,505,ClearWave,ClearPod Slim,earbuds,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for ClearPod Slim, creating a measurable ad point in the timeline.",positive,,,,medium
2025-04-06,606,ApexTech,ApexPhone Ultra,smartphones,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for ApexPhone Ultra, creating a measurable ad point in the timeline.",positive,,,,medium
2025-04-06,623,CasualGear,CasualFit H3,headphones,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for CasualFit H3, reducing momentum against recent trend.",negative,2025-04-07,bottom_peak,Negative deviation below current trend detected.,high
2025-04-07,524,SlateTab,SlateMax 11,tablets,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for SlateMax 11, reducing momentum against recent trend.",negative,2025-04-08,bottom_peak,Negative deviation below current trend detected.,high
2025-04-09,611,FitCore,FitCore Watch,smartwatches,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for FitCore Watch.,positive,2025-04-10,top_peak,Positive deviation above current trend detected.,high
2025-04-10,520,NanoPower,SlimPack Nano,power_banks,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for SlimPack Nano, creating a measurable ad point in the timeline.",positive,,,,medium
2025-04-10,601,SonicAudio,SonicPure X5,earbuds,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for SonicPure X5, reducing momentum against recent trend.",negative,2025-04-11,bottom_peak,Negative deviation below current trend detected.,high
2025-04-11,508,MegaMobile,MegaCore S9,smartphones,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for MegaCore S9, creating a measurable ad point in the timeline.",positive,,,,medium
2025-04-11,516,BlastAudio,BlastBox Pro,bluetooth_speakers,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for BlastBox Pro.,positive,2025-04-12,top_peak,Positive deviation above current trend detected.,high
2025-04-12,501,ProAudio,ProBuds Max,earbuds,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for ProBuds Max.,positive,2025-04-13,top_peak,Positive deviation above current trend detected.,high
2025-04-12,511,PulseTech,PulseWatch Pro,smartwatches,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for PulseWatch Pro.,positive,2025-04-13,top_peak,Positive deviation above current trend detected.,high
2025-04-12,607,BudgetMobile,BudgetPhone X3,smartphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for BudgetPhone X3.,positive,2025-04-13,top_peak,Positive deviation above current trend detected.,high
2025-04-12,616,WaveAudio,SoundBox Wave,bluetooth_speakers,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for SoundBox Wave.,positive,2025-04-13,top_peak,Positive deviation above current trend detected.,high
2025-04-13,507,ValueMobile,ValueMax 5G,smartphones,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for ValueMax 5G, reducing momentum against recent trend.",negative,2025-04-14,bottom_peak,Negative deviation below current trend detected.,high
2025-04-13,522,BassAudio,BassElite Pro,headphones,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for BassElite Pro, reducing momentum against recent trend.",negative,2025-04-14,bottom_peak,Negative deviation below current trend detected.,high
2025-04-16,514,FlexTech,FlexBand Active,smartwatches,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for FlexBand Active, creating a measurable ad point in the timeline.",positive,,,,medium
2025-04-16,621,WaveGear,WavePhone H10,headphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for WavePhone H10.,positive,2025-04-17,top_peak,Positive deviation above current trend detected.,high
2025-04-17,613,TrackGear,TrackBand Go,smartwatches,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for TrackBand Go.,positive,2025-04-18,top_peak,Positive deviation above current trend detected.,high
2025-04-17,614,ActiveGear,ActiveWatch R1,smartwatches,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for ActiveWatch R1, reducing momentum against recent trend.",negative,2025-04-18,bottom_peak,Negative deviation below current trend detected.,high
2025-04-18,605,VintageSound,VintageAir Lite,earbuds,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for VintageAir Lite, reducing momentum against recent trend.",negative,2025-04-19,bottom_peak,Negative deviation below current trend detected.,high
2025-04-20,615,OldGear,OldStyle Band,smartwatches,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for OldStyle Band.,positive,2025-04-21,top_peak,Positive deviation above current trend detected.,high
2025-04-20,620,CellPower,PocketCell Mini,power_banks,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for PocketCell Mini, reducing momentum against recent trend.",negative,2025-04-21,bottom_peak,Negative deviation below current trend detected.,high
2025-04-23,518,StudioWave,StudioWave Elite,bluetooth_speakers,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for StudioWave Elite, creating a measurable ad point in the timeline.",positive,,,,medium
2025-04-23,602,QTech,BudgetPod Q2,earbuds,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for BudgetPod Q2.,positive,2025-04-24,top_peak,Positive deviation above current trend detected.,high
2025-04-25,505,ClearWave,ClearPod Slim,earbuds,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for ClearPod Slim.,positive,2025-04-26,top_peak,Positive deviation above current trend detected.,high
2025-04-25,511,PulseTech,PulseWatch Pro,smartwatches,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for PulseWatch Pro, creating a measurable ad point in the timeline.",positive,,,,medium
2025-04-25,512,ChronoBrand,ChronoLux S,smartwatches,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for ChronoLux S, reducing momentum against recent trend.",negative,2025-04-26,bottom_peak,Negative deviation below current trend detected.,high
2025-04-25,525,EduGear,KidsPad Learn,tablets,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for KidsPad Learn.,positive,2025-04-26,top_peak,Positive deviation above current trend detected.,high
2025-04-25,610,VivaTech,VivaPhone S4,smartphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for VivaPhone S4.,positive,2025-04-26,top_peak,Positive deviation above current trend detected.,high
2025-04-25,625,JuniorTech,JuniorPad Pro,tablets,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for JuniorPad Pro, creating a measurable ad point in the timeline.",positive,,,,medium
2025-04-26,513,SportGear,SportBand Z3,smartwatches,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for SportBand Z3, reducing momentum against recent trend.",negative,2025-04-27,bottom_peak,Negative deviation below current trend detected.,high
2025-04-26,514,FlexTech,FlexBand Active,smartwatches,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for FlexBand Active, reducing momentum against recent trend.",negative,2025-04-27,bottom_peak,Negative deviation below current trend detected.,high
2025-04-27,504,FlashGear,FlashBeats X1,earbuds,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for FlashBeats X1, reducing momentum against recent trend.",negative,2025-04-28,bottom_peak,Negative deviation below current trend detected.,high
2025-04-27,507,ValueMobile,ValueMax 5G,smartphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for ValueMax 5G.,positive,2025-04-28,top_peak,Positive deviation above current trend detected.,high
2025-04-28,606,ApexTech,ApexPhone Ultra,smartphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for ApexPhone Ultra.,positive,2025-04-29,top_peak,Positive deviation above current trend detected.,high
2025-04-28,614,ActiveGear,ActiveWatch R1,smartwatches,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for ActiveWatch R1.,positive,2025-04-29,top_peak,Positive deviation above current trend detected.,high
2025-04-29,519,ChargeTech,ChargePro 25K,power_banks,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for ChargePro 25K.,positive,2025-04-30,top_peak,Positive deviation above current trend detected.,high
2025-05-01,511,PulseTech,PulseWatch Pro,smartwatches,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for PulseWatch Pro, reducing momentum against recent trend.",negative,2025-05-02,bottom_peak,Negative deviation below current trend detected.,high
2025-05-05,501,ProAudio,ProBuds Max,earbuds,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for ProBuds Max, creating a measurable ad point in the timeline.",positive,,,,medium
2025-05-05,511,PulseTech,PulseWatch Pro,smartwatches,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for PulseWatch Pro, creating a measurable ad point in the timeline.",positive,,,,medium
2025-05-05,604,TurboWave,TurboEar Boost,earbuds,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for TurboEar Boost.,positive,2025-05-06,top_peak,Positive deviation above current trend detected.,high
2025-05-05,613,TrackGear,TrackBand Go,smartwatches,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for TrackBand Go, creating a measurable ad point in the timeline.",positive,,,,medium
2025-05-05,619,TurboPower,TurboCharge 30K,power_banks,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for TurboCharge 30K.,positive,2025-05-06,top_peak,Positive deviation above current trend detected.,high
2025-05-05,621,WaveGear,WavePhone H10,headphones,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for WavePhone H10, reducing momentum against recent trend.",negative,2025-05-06,bottom_peak,Negative deviation below current trend detected.,high
2025-05-05,622,DeepAudio,DeepBass Ultra,headphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for DeepBass Ultra.,positive,2025-05-06,top_peak,Positive deviation above current trend detected.,high
2025-05-06,508,MegaMobile,MegaCore S9,smartphones,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for MegaCore S9, reducing momentum against recent trend.",negative,2025-05-07,bottom_peak,Negative deviation below current trend detected.,high
2025-05-07,517,MiniTech,MiniSound X,bluetooth_speakers,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for MiniSound X, reducing momentum against recent trend.",negative,2025-05-08,bottom_peak,Negative deviation below current trend detected.,high
2025-05-08,510,SprintTech,SprintPhone Z2,smartphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for SprintPhone Z2.,positive,2025-05-09,top_peak,Positive deviation above current trend detected.,high
2025-05-09,505,ClearWave,ClearPod Slim,earbuds,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for ClearPod Slim, reducing momentum against recent trend.",negative,2025-05-10,bottom_peak,Negative deviation below current trend detected.,high
2025-05-09,512,ChronoBrand,ChronoLux S,smartwatches,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for ChronoLux S.,positive,2025-05-10,top_peak,Positive deviation above current trend detected.,high
2025-05-10,514,FlexTech,FlexBand Active,smartwatches,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for FlexBand Active, creating a measurable ad point in the timeline.",positive,,,,medium
2025-05-10,615,OldGear,OldStyle Band,smartwatches,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for OldStyle Band, reducing momentum against recent trend.",negative,2025-05-11,bottom_peak,Negative deviation below current trend detected.,high
2025-05-10,623,CasualGear,CasualFit H3,headphones,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for CasualFit H3, creating a measurable ad point in the timeline.",positive,,,,medium
2025-05-11,507,ValueMobile,ValueMax 5G,smartphones,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for ValueMax 5G, creating a measurable ad point in the timeline.",positive,,,,medium
2025-05-11,509,ClassicCo,ClassicPro 12,smartphones,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for ClassicPro 12, reducing momentum against recent trend.",negative,2025-05-12,bottom_peak,Negative deviation below current trend detected.,high
2025-05-12,609,NobleCo,NoblePro 15,smartphones,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for NoblePro 15, creating a measurable ad point in the timeline.",positive,,,,medium
2025-05-13,503,LuxAudio,AirLux Elite,earbuds,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for AirLux Elite.,positive,2025-05-14,top_peak,Positive deviation above current trend detected.,high
2025-05-13,523,EasyGear,EasyWear Studio,headphones,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for EasyWear Studio, reducing momentum against recent trend.",negative,2025-05-14,bottom_peak,Negative deviation below current trend detected.,high
2025-05-13,605,VintageSound,VintageAir Lite,earbuds,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for VintageAir Lite.,positive,2025-05-14,top_peak,Positive deviation above current trend detected.,high
2025-05-14,615,OldGear,OldStyle Band,smartwatches,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for OldStyle Band, creating a measurable ad point in the timeline.",positive,,,,medium
2025-05-16,625,JuniorTech,JuniorPad Pro,tablets,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for JuniorPad Pro.,positive,2025-05-17,top_peak,Positive deviation above current trend detected.,high
2025-05-17,619,TurboPower,TurboCharge 30K,power_banks,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for TurboCharge 30K, reducing momentum against recent trend.",negative,2025-05-18,bottom_peak,Negative deviation below current trend detected.,high
2025-05-18,608,CoreMobile,CorePhone M7,smartphones,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for CorePhone M7, reducing momentum against recent trend.",negative,2025-05-19,bottom_peak,Negative deviation below current trend detected.,high
2025-05-19,519,ChargeTech,ChargePro 25K,power_banks,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for ChargePro 25K, reducing momentum against recent trend.",negative,2025-05-20,bottom_peak,Negative deviation below current trend detected.,high
2025-05-19,520,NanoPower,SlimPack Nano,power_banks,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for SlimPack Nano.,positive,2025-05-20,top_peak,Positive deviation above current trend detected.,high
2025-05-20,503,LuxAudio,AirLux Elite,earbuds,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for AirLux Elite, reducing momentum against recent trend.",negative,2025-05-21,bottom_peak,Negative deviation below current trend detected.,high
2025-05-20,517,MiniTech,MiniSound X,bluetooth_speakers,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for MiniSound X.,positive,2025-05-21,top_peak,Positive deviation above current trend detected.,high
2025-05-20,602,QTech,BudgetPod Q2,earbuds,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for BudgetPod Q2, creating a measurable ad point in the timeline.",positive,,,,medium
2025-05-20,619,TurboPower,TurboCharge 30K,power_banks,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for TurboCharge 30K, creating a measurable ad point in the timeline.",positive,,,,medium
2025-05-22,617,PocketTech,PocketBoom S2,bluetooth_speakers,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for PocketBoom S2.,positive,2025-05-23,top_peak,Positive deviation above current trend detected.,high
2025-05-24,513,SportGear,SportBand Z3,smartwatches,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for SportBand Z3.,positive,2025-05-25,top_peak,Positive deviation above current trend detected.,high
2025-05-24,518,StudioWave,StudioWave Elite,bluetooth_speakers,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for StudioWave Elite, creating a measurable ad point in the timeline.",positive,,,,medium
2025-05-24,620,CellPower,PocketCell Mini,power_banks,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for PocketCell Mini.,positive,2025-05-25,top_peak,Positive deviation above current trend detected.,high
2025-05-26,612,EliteBrand,EliteWatch X,smartwatches,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for EliteWatch X, reducing momentum against recent trend.",negative,2025-05-27,bottom_peak,Negative deviation below current trend detected.,high
2025-05-26,618,CrystalAudio,CrystalSound Pro,bluetooth_speakers,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for CrystalSound Pro, reducing momentum against recent trend.",negative,2025-05-27,bottom_peak,Negative deviation below current trend detected.,high
2025-05-27,522,BassAudio,BassElite Pro,headphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for BassElite Pro.,positive,2025-05-28,top_peak,Positive deviation above current trend detected.,high
2025-05-28,609,NobleCo,NoblePro 15,smartphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for NoblePro 15.,positive,2025-05-29,top_peak,Positive deviation above current trend detected.,high
2025-05-30,512,ChronoBrand,ChronoLux S,smartwatches,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for ChronoLux S, creating a measurable ad point in the timeline.",positive,,,,medium
2025-06-01,513,SportGear,SportBand Z3,smartwatches,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for SportBand Z3, creating a measurable ad point in the timeline.",positive,,,,medium
2025-06-01,613,TrackGear,TrackBand Go,smartwatches,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for TrackBand Go, reducing momentum against recent trend.",negative,2025-06-02,bottom_peak,Negative deviation below current trend detected.,high
2025-06-02,515,VintageGear,VintageWatch V2,smartwatches,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for VintageWatch V2, reducing momentum against recent trend.",negative,2025-06-03,bottom_peak,Negative deviation below current trend detected.,high
2025-06-02,523,EasyGear,EasyWear Studio,headphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for EasyWear Studio.,positive,2025-06-03,top_peak,Positive deviation above current trend detected.,high
2025-06-03,518,StudioWave,StudioWave Elite,bluetooth_speakers,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for StudioWave Elite, reducing momentum against recent trend.",negative,2025-06-04,bottom_peak,Negative deviation below current trend detected.,high
2025-06-03,602,QTech,BudgetPod Q2,earbuds,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for BudgetPod Q2, reducing momentum against recent trend.",negative,2025-06-04,bottom_peak,Negative deviation below current trend detected.,high
2025-06-03,607,BudgetMobile,BudgetPhone X3,smartphones,ad_point_negative,Ad pressure before dip,"A likely competitor ad blitz or weak campaign efficiency appeared just before the observed downside dip for BudgetPhone X3, reducing momentum against recent trend.",negative,2025-06-04,bottom_peak,Negative deviation below current trend detected.,high
2025-06-03,608,CoreMobile,CorePhone M7,smartphones,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for CorePhone M7.,positive,2025-06-04,top_peak,Positive deviation above current trend detected.,high
2025-06-04,624,TabSlate,TabSlate 12,tablets,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for TabSlate 12.,positive,2025-06-05,top_peak,Positive deviation above current trend detected.,high
2025-06-05,520,NanoPower,SlimPack Nano,power_banks,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for SlimPack Nano, creating a measurable ad point in the timeline.",positive,,,,medium
2025-06-05,525,EduGear,KidsPad Learn,tablets,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for KidsPad Learn, creating a measurable ad point in the timeline.",positive,,,,medium
2025-06-06,514,FlexTech,FlexBand Active,smartwatches,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for FlexBand Active.,positive,2025-06-07,top_peak,Positive deviation above current trend detected.,high
2025-06-06,515,VintageGear,VintageWatch V2,smartwatches,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for VintageWatch V2.,positive,2025-06-07,top_peak,Positive deviation above current trend detected.,high
2025-06-06,618,CrystalAudio,CrystalSound Pro,bluetooth_speakers,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for CrystalSound Pro.,positive,2025-06-07,top_peak,Positive deviation above current trend detected.,high
2025-06-07,513,SportGear,SportBand Z3,smartwatches,ad_campaign_live,Campaign goes live,"Ad spend or audience targeting intensified for SportBand Z3, creating a measurable ad point in the timeline.",positive,,,,medium
2025-06-07,603,GoldAudio,GoldEar Classic,earbuds,ad_point_positive,Ad burst before spike,Paid campaign pressure and creator amplification intensified just before the observed upside spike in demand and price signals for GoldEar Classic.,positive,2025-06-08,top_peak,Positive deviation above current trend detected.,high
